中文名,性别,国籍,出生日期,身高,体重,项目,省份
安-弗雷泽 ,女,牙买加,1991年11月27日,160厘米,52kg,田径,
安吉尔・麦克康特利 ,女,美国,1991年9月10日,185cm,73kg,篮球,
晓小琳 ,女,中国,1994年9月18日,,,足球,辽宁
阿莱克斯?加西亚 ,男,巴西,1985年3月4日,191厘米,89kg,篮球,
保罗・乔治 ,男,美国,1995年5月2日,203厘米,95kg,篮球,
米西・富兰克林 ,女,美国,2000年5月10日,1.88米,75kg,游泳,
李胜珍 ,女,韩国,1990年3月7日,165 厘米,60kg,射箭,
马小涛 ,男,中国,1993年10月20日,175cm,72kg,乒乓球,辽宁
拉尔斯-本德 ,男,德国,1994年4月27日,184cm,77kg,男子足球,
木村纱织 ,女,日本,1991年8月19日,185厘米,65kg,排球,
赵小军 ,男,中国,1989年7月27日,172厘米,77kg,举重,湖北
米歇尔・普罗菲 ,女,加拿大,1997年9月15日,191厘米,82kg,篮球,
林小妤 ,女,中国,2001年2月25日,,,高尔夫,广东
米兰达・阿伊木 ,女,加拿大,1993年5月6日,183厘米,78kg,篮球,
李小桐 ,男,中国,2000年8月3日,183厘米,75kg,高尔夫,湖南
毛小艺 ,女,中国,2004年9月,,,体操,辽宁
李龙大 ,男,韩国,1986年3月8日,178厘米,65kg,羽毛球,
苗小甜 ,女,中国,1998年1月18日,,,赛艇,河北
李小晴 ,女,中国,1997年11月,,,乒乓球,广东
马克・加索尔 ,男,西班牙,1990年1月29日,216cm,120kg,篮球,
马赛林霍?胡尔塔斯 ,男,巴西,1988年5月25日,190厘米,85kg,篮球,
马小旭 ,女,中国,1993年6月5日,,,足球,辽宁
马小楠 ,女,中国,1989年,,,柔道,辽宁
马小青 ,女,中国,1997年8月24日,,,皮划艇静水,山东
马小飞 ,男,中国,1989年7月29日,186厘米,77kg,击剑,广东
玛蒂娜・辛吉斯 ,女,瑞士,1985年9月30日,170cm,,网球,
马修・埃蒙斯 ,男,美国,1986年4月5日,178厘米,80kg,射击,
马思莱尼科夫 ,男,俄罗斯,1999年8月17日,168厘米,67kg,射击男子气步枪,
米尔扎 ,女,印度,1991年11月15日,173cm,57kg,网球,
内内?希拉里奥 ,男,巴西,1987年9月13日,211厘米,113kg,篮球,
马金尼奥斯 ,男,巴西,1999年5月14日,183cm,80kg,男子足球,
马修・德拉夫多瓦 ,男,澳大利亚,1995年9月8日,193厘米,86kg,篮球,
尼古拉斯・巴图姆 ,男,法国,1993年12月14日,203厘米,90kg,篮球,
毛小廉 ,男,中国,1998年,,,游泳,浙江
马努・吉诺比利 ,男,阿根廷,1982年7月28日,198厘米,93kg,篮球,
诺瓦克・德约科维奇 ,男,塞尔维亚,1992年5月22日,187厘米,80kg,网球,
迈尔 ,男,德国,2000年9月18日,173cm,69kg,男子足球,
马克・霍顿 ,男,澳大利亚,2002年,,,游泳,
娜塔莉・阿乔恩瓦 ,女,加拿大,1997年11月22日,192厘米,83kg,篮球,
马小欢 ,女,中国,1995年1月13日,178厘米,73kg,女子水球,广西
马小晋 ,女,中国,1993年5月7日,167厘米,60kg,羽毛球,江苏
内瓦尔・塞娜 ,女,印度,1995年3月17日,167厘米,60kg,羽毛球,
梅小寒 ,女,中国,2002年2月14日,,,水球,安徽
莫小雪 ,男,中国,1993年2月16日,179cm,65kg,田径,广东
内村航平 ,男,日本,1994年1月3日,161cm,55kg,体操,
孟小强 ,男,中国,1992年7月3日,,,摔跤,
米奇?拉尔金 ,男,澳大利亚,1998年7月9日,187厘米,72kg,游泳,
内弗利耶・伊尔马兹 ,女,土耳其,1985年6月16日,194厘米,85kg,篮球,
玛雅・摩尔 ,女,美国,1994年6月11日,175cm,79kg,篮球,
马小斌 ,男,中国,1995年4月18日,,,柔道,河北
牛小男 ,女,中国,1997年5月10日,,,水球,广西
马小露 ,女,中国,2001年,,,自行车,河南
玛利亚・格罗兹德娃 ,女,保加利亚,1972年6月23日,163厘米,66kg,射击,
内马尔 ,男,巴西,1997年2月5日,175cm,64kg,男子足球,
莫小雪 ,男,中国,1993年2月16日,179cm,65kg,田径,广东
宁小涛 ,男,中国,1998年3月6日,191cm,76-80kg,游泳,河南
朴泰桓 ,男,韩国,1994年9月27日,183厘米,74kg,游泳,
娜迪亚・考尔哈多 ,女,巴西,1994年2月25日,194厘米,84kg,篮球,
彭小飞 ,男,中国,1997年,,,摔跤,陕西
欧小霞 ,女,中国,2000年,,,女子曲棍球,四川
乔・英格尔斯 ,男,澳大利亚,1992年10月2日,,,篮球,
潘小鸿 ,女,中国,1994年7月17日,,53kg,赛艇,浙江
乔斯・卡尔德隆 ,男,西班牙,1986年9月28日,191cm,95kg,篮球,
庞小月 ,女,中国,1994年1月19日,,,足球,辽宁
切小什姐 ,女,中国,1995年11月11日,159cm,47kg,田径,青海
彭小帅 ,女,中国,1991年1月8日,173厘米,65kg,网球,河北
c野公介 ,男,日本,1999年8月15日,175厘米,70kg,游泳,
庞小伟 ,男,中国,1991年7月19日,179厘米,80kg,射击,河北
邱小傲 ,男,中国,2003年12月,180cm,,游泳,江苏
佩特拉・科维托娃 ,女,捷克,1995年3月8日,183厘米,70kg,网球,
邱小波 ,男,中国,1998年1月31日,162厘米,59kg,跳水,四川
彭小林 ,女,中国,2000年4月4日,184厘米,72kg,排球,湖南
奇甫倍 ,女,韩国,1993年2月20日,168厘米,56kg,射箭,
彭小杨 ,女,中国,1997年1月17日,163cm,59kg,曲棍球,四川
秦小凯 ,男,中国,1991年1月31日,170厘米,65kg,跳水,陕西
宁小涛 ,男,中国,1998年3月6日,191cm,76-80kg,游泳,河南
秦小路 ,男,中国,1997年,,,自行车,江苏
邵小婷 ,女,中国,1994年12月10日,188厘米,75kg,篮球,江苏
塞尔吉奥・罗德里格斯 ,男,西班牙,1991年6月12日,191cm,80kg,篮球,
齐小红 ,女,中国,,,,射箭,
赛音吉日嘎拉 ,男,中国,1994年12月4日,,,柔道,青海
孙小晓 ,女,中国,1997年6月13日,,,曲棍球,江苏
秦钟午 ,男,韩国,1975年9月24日,175厘米,78kg,射击,
孙小文 ,女,中国,1997年6月17日,177厘米,,击剑,山东
松本俜 ,男,巴西,1991年6月22日,172厘米,63kg,乒乓球,
乔治里奥?帕尔特里涅利 ,男,意大利,1999年9月5日,191厘米,72kg,游泳,
苏小悦 ,女,中国,1996年11月8日,178厘米,95kg,女子铁饼,河北
孙完虎 ,男,韩国,1993年5月17日,177厘米,69kg,羽毛球,
任小茜 ,女,中国,1998年10月4日,178厘米,65kg,女子撑杆跳,浙江
水谷隼 ,男,日本,1994年6月9日,172厘米,66kg,乒乓球,
石小勇 ,男,中国,1998年,,,举重,广西
瑞安・罗切特 ,男,美国,1989年8月3日,188cm,87kg,游泳,
史小琳 ,女,中国,1998年1月3日,,,游泳,江苏
彭小林 ,女,中国,2000年4月4日,184厘米,72kg,排球,湖南
沈小晨 ,女,中国,1995年7月28日,171cm,60kg,击剑,江苏
任小君 ,女,中国,1997年1月15日,175厘米,67kg,皮划艇激流,山东
沈小铎 ,女,中国,2002年,182厘米,,游泳,江苏
孙小伟 ,男,中国,1997年10月27日,193cm,,击剑,江苏
入江陵介 ,男,日本,1995年1月24日,178厘米,,游泳,
孙小晨 ,女,中国,2003年,,,游泳,河北
施小洛 ,男,中国,1998年1月25日,184cm,,击剑,福建
任小灿 ,女,中国,1993年1月26日,167厘米,51kg,拳击,山东
石川佳纯 ,女,日本,1998年2月23日,157厘米,49kg,乒乓球,
商小元 ,男,中国,2000年2月4日,,,游泳,浙江
山小俊 ,男,中国,1999年,,,拳击,云南
赛尔吉奥・鲁尔 ,男,西班牙,1992年11月15日,191cm,86kg,篮球,
孙妍在 ,女,韩国,1999年5月28日,165厘米,47kg,艺术体操,
尚小蓉 ,女,中国,2005年,,,艺术体操,辽宁
苏・伯德 ,女,美国,1985年10月16日,175cm,68kg,篮球,
舒小明 ,男,中国,,,,皮划艇激流,四川
舒小瑶 ,女,中国,1997年9月12日,172米厘米,49kg,艺术体操,四川
孙兴O ,男,韩国,1997年7月8日,182cm,76kg,男子足球,
孙小满 ,男,中国,2000年8月22日,,,赛艇,辽宁
苏小添 ,男,中国,1994年8月29日,172厘米,65kg,田径,广东
孙小杨 ,男,中国,1996年12月1日,198厘米,89kg,游泳,浙江
孙小婷 ,女,中国,1993年2月24日,180厘米,78kg,女子水球,河北
斯特格 ,男,德国,1986年,176cm,67kg,乒乓球,
宋小伦 ,女,中国,1996年4月28日,178厘米,82kg,女子水球,河北
宋小龄 ,女,中国,1991年7月22日,174厘米,71kg,女子曲棍球,辽宁
孙小然 ,女,中国,1997年7月,197厘米,77kg,篮球,河北
萨拉・埃拉尼 ,女,意大利,1992年4月29日,164厘米,60kg,网球,
孙小昕 ,女,中国,1998年,190厘米,77kg,篮球,山东
沈小安 ,男,中国,1999年,,,自行车,四川
孙小雁 ,女,中国,1994年12月27日,170cm,58kg,花样游泳,湖南
斯文-本德 ,男,德国,1994年4月27日,184cm,77kg,男子足球,
孙小洁 ,女,中国,1997年8月10日,185厘米,72kg项目:击剑,,辽宁
桑托?康多莱利 ,男,加拿大,2000年1月7日,188厘米,88kg,游泳,
索尔佳 ,女,德国,,,,乒乓球,
田小涛 ,男,中国,,,,举重,湖北
王小宇 ,男,中国,1996年8月18日,188cm,75kg,乒乓球,山东
睢小冉 ,男,中国,1997年6月25日,192厘米,95kg,篮球,山西
图格斯・卡尼特兹 ,女,土耳其,1995年11月10日,190厘米,85kg,篮球,
王小妍 ,女,中国,2004年10月30日,140厘米,,体操,河北
帖小娜 ,女,中国,1984年5月13日,,,乒乓球,
孙小昕 ,女,中国,1998年,190厘米,77kg,篮球,山东
唐小奕 ,女,中国,1998年1月8日,177厘米,70kg,游泳,江苏
王小微 ,女,中国,1996年,,,赛艇,青海
托尼・帕克 ,男,法国,1987年5月17日,188厘米,82kg,篮球,
田志希 ,女,韩国,1997年10月28日,,,乒乓球,
王小玮 ,男,中国,1993年7月7日,,,帆船,浙江
唐小臣 ,男,中国,1994年4月24日,180cm,68kg,田径,河北
汤小强 ,男,中国,2000年8月11日,170cm,65kg,田径,福建
王小媛 ,女,中国,1999年7月26日,,,铁人三项,山东
谭小薪 ,女,中国,2001年12月3日,,,体操,湖南
吴小钰 ,女,中国,1992年7月13日,167厘米,49kg,跆拳道,江西
王小娜 ,女,中国,1995年2月25日,,,排球,浙江
唐小鹏 ,男,中国,1986年2月4日,175厘米,73kg,乒乓球,
王小雨 ,女,中国,2000年1月17日,176厘米,43kg,女子800米,安徽
吴小燕 ,女,中国,1998年2月26日,,,足球,浙江
汤小妮 ,女,中国,1999年4月8日,169cm,59kg,花样游泳,江苏
王小华 ,男,中国,1999年2月16日,175cm,55kg,田径,广东
维克多・克拉弗 ,男,西班牙,1993年8月30日,207cm,107kg,篮球,
谭小殷 ,女,中国,1999年7月17日,,,足球,广东
王小东 ,男,中国,1996年1月11日,175cm,62kg,田径,江苏
汪小儿 ,女,中国,2003年,,,游泳,广东
唐小婷 ,女,中国,2004年,,,游泳,广东
吴小娇 ,女,中国,1996年6月19日,176厘米,65kg,女子100米栏,广东
王小珊 ,女,中国,1995年1月27日,,,足球,河南
王小霜 ,女,中国,2000年1月23日,,,足球,湖北
吴小迪 ,女,中国,1995年4月,186厘米,72kg,篮球,河北
王小焱 ,女,中国,1996年8月22日,,,足球,辽宁
王小镇 ,男,中国,1996年8月24日,177厘米,63kg,男子20公里竞走,黑龙江
魏小宁 ,女,中国,1987年8月5日,166厘米,60kg,射击,山东
王小雨 ,女,中国,1997年5月25日,170,70,曲棍球,江苏
王小伟 ,男,中国,1993年7月18日,178,75,射击,山西
吴小霞 ,女,中国,1990年11月10日,167厘米,53kg,跳水,江苏市
王小鑫 ,男,中国,1994年2月24日,188厘米,75kg,赛艇,浙江
吴小航 ,男,中国,2002年,,,游泳,浙江
吴小琼 ,女,中国,1994年4月,,,曲棍球,甘肃
汪小顺 ,男,中国,1999年2月11日,192厘米,74kg,游泳,浙江
王小林 ,男,中国,1999年1月20日,214厘米,110kg,篮球,福建
王小峥 ,女,中国,1992年12月14日,174厘米,87kg,女子链球,陕西
王小忱 ,男,中国,1990年3月28日,185厘米,70kg,帆船,辽宁
王小杰 ,女,中国,,,,赛艇,河南
王小丽 ,女,中国,1987年5月12日,169厘米,70kg,帆船,山东
王小鑫 ,男,中国,,,,赛艇,辽宁
王小艳 ,女,中国,1996年4月26日,181厘米,73kg,水球,江苏
王小敏 ,男,中国,,,,摔跤,山西
王小佳 ,女,中国,1998年8月25日,173厘米,62kg,游泳,辽宁
吴小顺 ,男,中国,1990年6月22日,,,高尔夫,福建
谢拉-卡斯特罗 ,女,巴西,1988年7月1日,185厘米,64kg,排球,
王小红 ,女,中国,2002年,,,自行车,河南
徐小龙 ,男,中国,1997年12月20日,188cm,70kg,田径,四川
许小昕 ,男,中国,1995年1月8日,180厘米,67kg,乒乓球,江苏
王小祯 ,男,中国,1994年6月,,,自行车,甘肃
夏洛特・迪雅尔丹 ,女,英国,1990年7月13日,170米厘米,61kg,马术,英国
熊小瀚 ,女,中国,,,,水球,湖南
魏小月 ,女,中国,1993年9月26日,183厘米,75kg,排球,河北
向小梅 ,女,中国,,,,举重,湖南
徐小佳 ,女,中国,1992年8月30日,176厘米,60kg,帆船,江苏
王小涵 ,女,中国,1993年1月18日,178厘米,65kg,羽毛球,江苏
肖娜・索伯恩 ,女,加拿大,1987年8月7日,178厘米,64kg,篮球,
邢小宇 ,男,中国,1996年3月12日,188cm,77kg,射箭,河北
维斯尼娜 ,女,俄罗斯,1991年8月1日,176厘米,70kg,网球,
谢小业 ,男,中国,1998年8月17日,183厘米,76kg,田径,浙江
西蒙妮・奥古斯图斯 ,女,美国,1989年4月30日,183cm,81kg,篮球,
王小鹏 ,男,中国,,,,射箭,
徐小军 ,男,中国,,,,帆船,浙江
希尔维亚・福尔斯 ,女,美国,1990年10月6日,198cm,90kg,篮球,
王小炜 ,男,中国,1998年,,,皮划艇静水,广州
薛小娇 ,女,中国,1998年1月30日,,,足球,辽宁
辛小鑫 ,女,中国,2001年11月6日,175厘米,58kg,游泳,山东
吴小欣 ,女,中国,,,,射箭,
许小琪 ,女,中国,1997年1月23日,183厘米,75kg,击剑,江苏
徐小蕊 ,女,中国,,,,摔跤,河北
王小男 ,男,中国,1993年2月16日,185cm,70kg,田径,辽宁
徐小余 ,男,中国,2000年8月19日,1.84米,,游泳,浙江
小威廉姆斯 ,女,美国,1986年9月26日,178cm,70kg,网球,
徐孝元 ,女,韩国,1992年5月10日,160cm,53kg,乒乓球,
于小颂 ,女,中国,1992年,,,柔道,山东
尹小花 ,女,中国,1995年,,,拳击,河北
徐小丽 ,女,中国,1992年8月2日,197厘米,86kg,排球,福建
杨小霞 ,女,中国,,,,柔道,山东
徐小超 ,男,中国,,,,自行车,江苏
于小伟 ,男,中国,1992年9月11日,180cm,62kg,田径,山东
薛小华 ,男,中国,1997年,,,自行车,河北
袁小琦 ,女,中国,2000年10月26日,165厘米,50kg,女子短跑,江苏
徐小晨 ,男,中国,1989年11月19日,186厘米,80kg,羽毛球,江苏
岳小超 ,女,中国,1996年1月5日,165厘米,55kg,女子马拉松,江苏
西蒙・拜尔斯 ,女,美国,2002年3月14日,145cm,,竞技体操,
杨小洋 ,男,中国,1996年6月26日,183cm,75kg,乒乓球,山东
肖小棣 ,男,中国,,,,摔跤,
亚历山大・马里奇 ,男,澳大利亚,,,,篮球,
谢小骏 ,男,中国,1995年7月11日,190厘米,85kg,田径,江苏
杨小曼 ,女,中国,2000年11月2日,,,足球,山东
薛小锐 ,男,中国,1996年5月31日,188cm,75kg,田径,山东
杨小丽 ,女,中国,1996年1月31日,,,足球,江苏
于梦雨 ,女,新加坡,1994年8月18日,,,乒乓球,
尹小昕 ,女,中国,2000年2月5日,168cm,58kg,花样游泳,湖北
杨小B ,女,中国,1993年4月28日,180cm,69kg,女子水球,河北
姚小平 ,女,中国,,,,自行车,山东
于小瑶 ,女,中国,2004年2月13日,,,游泳,河北
伊万・加西亚 ,男,墨西哥,1998年10月25日,165厘米,55kg,跳水,
颜小妮 ,女,中国,1994年3月2日,192厘米,72kg,排球,辽宁
尤塞恩-博尔特 ,男,牙买加,1991年8月21日,196厘米,86kg,田径,
亚瑟明・达尔加拉尔 ,女,土耳其,1993年6月8日,183厘米,70kg,篮球,
雅尼克-阿格内尔 ,男,法国,1997年6月9日,202cm,90kg,游泳,
余小刚 ,男,中国,1989年2月23日,181厘米,70kg,赛艇,四川
余小新 ,男,中国,2001年1月1日,,,游泳,广东
叶卡捷琳娜・马卡洛娃 ,女,俄罗斯,1993年6月7日,183cm,71kg,网球,
杨小哲 ,男,中国,1996年7月14日,180厘米,,举重,山东
闫小贝 ,男,中国,2000年10月,,,游泳,湖北
于小洋 ,女,中国,1991年4月7日,166厘米,56kg,羽毛球,辽宁
伊拉・玛利亚麻・迪亚拉 ,女,田径,1995年3月8日,175厘米,56kg,田径,
杨小晔 ,女,中国,,,,艺术体操,辽宁
亚德里安娜・平托 ,女,巴西,1983年12月6日,170厘米,62kg,篮球,
易小玲 ,女,中国,1994年5月6日,165厘米,51kg,射击,湖南
叶小文 ,女,中国,2001年3月1日,172厘米,64kg,游泳,浙江
叶尔兰别克-卡泰 ,男,中国,,,66kg,摔跤,甘肃
尤小浩 ,男,中国,1997年4月26日,,,体操,江苏
伊萨贝尔・雅稠堡 ,女,法国,,190厘米,项目:篮球,,
伊斯安妮・马奎斯 ,女,巴西,1987年3月13日,182厘米,71kg,篮球,
易小联 ,男,中国,1992年10月27日,213厘米,113kg,篮球,广东
杨小斌 ,男,中国,,,,摔跤,
尤纳斯・瓦兰修纳斯 ,男,立陶宛,1997年5月6日,213cm,111kg,篮球,
伊斯尔・阿尔本 ,女,土耳其,1991年2月22日,170厘米,60kg,篮球,
伊藤美诚 ,女,日本,2005年10月21日,,,乒乓球,
周一涵 ,女,新加坡,,,,乒乓球,
赵小刚 ,男,中国,,,,拳击,河北
张小灵 ,女,中国,,,,赛艇,江苏
张小科 ,男,中国,1993年2月16日,181cm,70kg,乒乓球,山东
周小霖 ,女,中国,,,,游泳,河北
朱小学 ,男,中国,1996年4月6日,181cm,70kg,田径,云南
周小敏 ,女,中国,2002年12月,,,游泳,江苏
张小龙 ,男,中国,1994年5月12日,173厘米,65kg,体操,山东省
朱小惠 ,女,中国,2004年,,,游泳,浙江
张小楠 ,女,中国,,,,现代五项,辽宁
赵小娜 ,女,中国,1996年9月18日,,,足球,江苏
张小航 ,男,中国,1996年10月28日,180cm,70kg,田径,云南
张小雪 ,女,中国,,,,曲棍球,辽宁
郑荣植 ,男,韩国,1997年1月20日,182厘米,65kg,乒乓球,
张小越 ,女,中国,1995年9月30日,,,足球,河北
朱世赫 ,男,韩国,1985年1月20日,180厘米,68kg,乒乓球,
张小予 ,女,中国,,,,游泳,河南
张小艳 ,女,中国,1999年2月9日,164厘米,48kg,女子中长跑,甘肃
张小霏 ,女,中国,2003年4月,,,游泳,江苏
张小月 ,女,中国,,,,赛艇,山东
张小涵 ,女,中国,2000年,,,游泳,湖北
赵小容 ,女,中国,1998年9月27日,,,足球,河北
周小鹏 ,男,中国,1994年10月11日,206厘米,90kg,篮球,辽宁
赵小滨 ,男,中国,,,,赛艇,山东
周小玉 ,女,中国,1994年1月23日,174厘米,68kg,皮划艇静水,湖南
张小秀 ,女,中国,1991年3月22日,182厘米,113kg,女子链球,辽宁
周小凤 ,女,中国,,,,摔跤,江西
张小荣 ,女,中国,2002年3月24日,,,曲棍球,吉林
张小| ,女,中国,1995年5月3日,176厘米,65kg,水球,河北
赵小芳 ,女,中国,,,,自行车,河南
张小睿 ,女,中国,1994年1月17日,,,足球,山东
张贤秀 ,男,韩国,1996年9月28日,187cm,77kg,男子足球,
钟小使 ,女,中国,1996年,,,自行车,江苏
周小琦 ,男,中国,2001年1月16日,217厘米,95kg,篮球,河南
张小帅 ,女,中国,1994年1月21日,177厘米,65kg,网球,河北
赵小涵 ,女,中国,1998年9月4日,173厘米,63kg,排球,江苏
赵小雕 ,女,中国,1994年5月25日,174厘米,70kg,女子曲棍球,辽宁
朱小南 ,男,中国,1989年11月15日,182厘米,67kg,射击,浙江
张小薇 ,女,中国,1995年10月7日,183厘米,64kg,女子水球,辽宁
詹姆斯・盖伊 ,男,英国,2000年11月26日,187厘米,83kg,游泳,
祖小军 ,男,中国,1994年11月26日,1.85米,,游泳,江苏
张小伟 ,男,中国,1996年6月4日,200厘米,77kg,男子跳高,山东
张伯伦・奥古奇 ,男,尼日利亚,1991年4月28日,198厘米,91kg,篮球,
张小斌 ,男,中国,1999年6月,,,游泳,山东
赵小芳 ,女,中国,1999年8月11日,168厘米,,篮球,
张小楠 ,男,中国,1995年3月1日,183厘米,75kg,羽毛球,河北
朱小伟 ,女,中国,1995年5月22日,180厘米,72kg,赛艇,江苏省
张小萌 ,男,中国,1992年3月13日,186厘米,86kg,田径,河北
赵小蕾 ,女,中国,1991年8月25日,173厘米,62kg,羽毛球,湖北
赵小楠 ,女,中国,2000年3月7日,,,艺术体操,辽宁
张小玲 ,女,中国,1997年9月18日,,,艺术体操,浙江
张小柳 ,女,中国,1994年11月15日,,,摔跤,辽宁
钟小纯 ,女,中国,1999年,,,摔跤,贵州
张小敏 ,女,中国,1996,,,帆船,山东
周小琦 ,男,中国,2001年1月16日,217厘米,95kg,篮球,河南
翟小川 ,男,中国,1998年3月24日,204厘米,100kg,篮球,河北
张小慧 ,女,中国,1993年,,78kg,柔道,江苏
赵小伟 ,男,中国,2000年8月25日,185厘米,77kg,篮球,辽宁
邹小宸 ,男,中国,2001年7月5日,208厘米,108kg,篮球,辽宁
